상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
부자돌솥설렁탕,한식,설렁탕집,한식 음식점업,소사동,37.4857793335271,126.791628985058
궁중떡방앗간,제과제빵떡케익,제과점,제과점업,소사동,37.4846277025299,126.793558421882
마당골,한식,해장국/감자탕,한식 음식점업,소사동,37.4846632694888,126.794394570286
맥심호프,유흥주점,호프/맥주,기타 주점업,소사동,37.4842169899162,126.793044906259
포차오공일,유흥주점,호프/맥주,기타 주점업,소사동,37.4849129839048,126.792377899031
만나국수,한식,파전전문,한식 음식점업,소사동,37.4846229682351,126.793094909982
마포갈매기소사역점,한식,갈비/삼겹살,한식 음식점업,소사동,37.4837063634135,126.794217730454
동마루피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사동,37.4866730322605,126.7900315629
본죽,별식/퓨전요리,죽전문점,한식 음식점업,소사동,37.4859069613211,126.791773923085
돈토랑나랑,한식,보리밥전문,한식 음식점업,소사동,37.4865308582374,126.790226080348
신라명과부천성가병원점,제과제빵떡케익,제과점,제과점업,소사동,37.4874874535625,126.793014902041
부천성모장례식장,한식,한식/백반/한정식,한식 음식점업,소사동,37.4874874535625,126.793014902041
소사닭한마리,닭/오리요리,삼계탕전문,한식 음식점업,소사동,37.4838844645806,126.794011343543
충남방앗간,제과제빵떡케익,제과점,제과점업,소사동,37.4849572217197,126.793179989251
오후에반하다,유흥주점,호프/맥주,기타 주점업,소사동,37.4838844645806,126.794011343543
크로바커피숍,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사동,37.4859656130066,126.790461340322
집밥권선생,한식,한식/백반/한정식,한식 음식점업,소사동,37.4848265867757,126.791859165268
케익나라,제과제빵떡케익,제과점,제과점업,소사동,37.4856367971271,126.790907621728
김밥왕국,분식,라면김밥분식,분식 및 김밥 전문점,소사동,37.4844584957118,126.793753361947
은목향,한식,한식/백반/한정식,한식 음식점업,소사동,37.4845488156673,126.793774523755
네일수다,양식,정통양식/경양식,서양식 음식점업,괴안동,37.4751528912597,126.806384336363
동대문엽기떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,괴안동,37.4746878713929,126.803169653432
신정상회,닭/오리요리,오리고기전문,한식 음식점업,괴안동,37.4826181421088,126.808628689307
파리바게뜨,제과제빵떡케익,제과점,제과점업,괴안동,37.4793365900098,126.806668282063
촌가추어탕,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4741425909136,126.804489782099
BBQ치킨,유흥주점,호프/맥주,기타 주점업,괴안동,37.4768506939119,126.807657506866
복사골포차,유흥주점,호프/맥주,기타 주점업,괴안동,37.4778560356652,126.809959267251
도새기왕족발보쌈,한식,족발/보쌈전문,한식 음식점업,괴안동,37.4760329310062,126.807874003311
경기부천소사지역자활센터음식점,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4832396464344,126.808607513337
족발대학골뱅이과,한식,족발/보쌈전문,한식 음식점업,괴안동,37.4763058231237,126.808129701374
까페러브,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,괴안동,37.4768998449134,126.808063737474
대가쭈꾸미,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4773713885582,126.80746833838
훌랄라참숯바베큐치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4746077067757,126.803261376055
커피쿤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,괴안동,37.4789846696346,126.806617347808
신림동순대곱창타운,한식,곱창/양구이전문,한식 음식점업,괴안동,37.4763564554649,126.807789723373
바지락칼국수수제비,분식,국수/만두/칼국수,분식 및 김밥 전문점,괴안동,37.4806208311215,126.8044657156
왕푸징만두,한식,한식/백반/한정식,한식 음식점업,괴안동,37.477392714904,126.80779587204
미스터피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4829399521567,126.80926806612
두리마루,닭/오리요리,오리고기전문,한식 음식점업,괴안동,37.4797912893536,126.803517896653
피자마루,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.48252029162,126.806968154685
김영민제과,제과제빵떡케익,제과점,제과점업,괴안동,37.4777761073935,126.807394070622
페리카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4816253996941,126.804901972293
뚜레쥬르,제과제빵떡케익,제과점,제과점업,괴안동,37.4789701909079,126.806968069891
참치#,일식/수산물,참치전문점,일식 음식점업,괴안동,37.4789102098448,126.807274290373
모미락,유흥주점,호프/맥주,기타 주점업,괴안동,37.4745096386535,126.80336468946
웰빙보리밥,한식,보리밥전문,한식 음식점업,괴안동,37.4825720657673,126.809420892269
이모네족발,한식,족발/보쌈전문,한식 음식점업,괴안동,37.4769512551669,126.802455203617
통돼지수석막창구이,한식,곱창/양구이전문,한식 음식점업,괴안동,37.4803891147813,126.80471814842
꾹이숯불닭구이,닭/오리요리,불닭전문,한식 음식점업,괴안동,37.4801111810793,126.803965049969
