상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
카페65도씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698682060989,126.812188615467
블럭앤카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738
한우세계,한식,갈비/삼겹살,한식 음식점업,범박동,37.4701589658587,126.80795599548
장산곶수산,일식/수산물,횟집,한식 음식점업,범박동,37.4721850284989,126.814096440567
마론,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4733626376413,126.812924687767
도너타임,제과제빵떡케익,제과점,제과점업,범박동,37.4712023995777,126.809567347043
치킨마루범박점,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4750778661122,126.807877868992
부어치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4688264242315,126.806270153294
정담은보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4696242815002,126.812124646697
한우본가,한식,기타고기요리,한식 음식점업,범박동,37.4712023995777,126.809567347043
아구세상,일식/수산물,아구전문,한식 음식점업,범박동,37.4701766706146,126.812398526659
마리네이드,양식,정통양식/경양식,서양식 음식점업,범박동,37.474047354479,126.812020727001
고봉민김밥인부천옥길점,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4675351175665,126.822150862624
계림원,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4689622435877,126.820692773489
전주콩나물국밥,한식,한식/백반/한정식,한식 음식점업,범박동,37.4693275514864,126.820280063275
청춘통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4697987933294,126.818746506446
비엔나커피하우스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4693497248774,126.819793610456
헨젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4702003869115,126.81926021095
예당어죽닭발,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4703677906749,126.812587686038
100℃닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,범박동,37.4733626376413,126.812924687767
공간,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4696804330729,126.818624016269
놀부보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4678121438377,126.821920425513
놀부부대찌개&철판구이,한식,부대찌개/섞어찌개,한식 음식점업,범박동,37.4678121438377,126.821920425513
카쿠야,유흥주점,기타일반유흥주점,일반유흥 주점업,범박동,37.4690624523136,126.81989986952
킹콩쥬스앤커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.468681517401,126.822358967803
윈일씨숯불닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,범박동,37.4687957054283,126.822063254951
크림커피엔비어,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698265254172,126.819718284802
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4677529115346,126.82230570854
쥬시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4675351175665,126.822150862624
이디야커피부천옥길점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4683945747554,126.821594755894
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287
할매순대국감자탕,별식/퓨전요리,순대전문점,한식 음식점업,범박동,37.4692402617892,126.819659674692
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043
