상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_review
카페65도씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698682060989,126.812188615467,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20카페65도씨,https://m.place.naver.com/restaurant/37459407,경기 부천시 양지남로 39,4.31,/분위기좋고 대화하기 좋아요/매장은 넓어 보여 분위기 좋을것같아 방문 청결상태 별로ㅠㅠ 직원분인지 사장님인지 모르겠으나 좀 무뚝뚝했다 매장에서 먹고가는데 일회용 컵에 커피 나온거에 좀더 실망스러웠다/굿굿/조용히 얘기하기 좋아요/맛있어요/좋아요./좋아요/직원분도 친절하시고 커피가 맛있어요 !!/아포카토 맛나요/굿
블럭앤카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20블럭앤카페,https://m.place.naver.com/restaurant/1262904745,경기 부천시 범안로96번길 23 4단지상가 3층,,/좋아요/가까워서 아이의 놀이터^^/사장님 좋으세요~/신나는슬라임 비즈랑 블럭놀이 신나요/행사할때 정액권한번씩 끊어놔요
한우세계,한식,갈비/삼겹살,한식 음식점업,범박동,37.4701589658587,126.80795599548,한식갈비/삼겹살한식 음식점업,범박동%20한우세계,https://m.place.naver.com/restaurant/31629816,경기 부천시 범안로 130-21,,/좋아요/좋아요/좋아요/국/고기가 맛있어요/좋아요/굿/굿/좋아요
마론,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4733626376413,126.812924687767,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20마론,https://m.place.naver.com/restaurant/37435543,경기 부천시 양지로 115 1층 카페마론,4.4,"/가격도 저렴하고 빵 맛있어요. 케익생크림도 안느끼하고 안달고 맛나고, 시나몬롤도 따뜻하게데워주셨는데 달달하니 커피랑 찰떡이네요. 다만 어르신 들조금 많아서 시끄러워요. 뒤에 교회때문인지/에그타르트 너무 맛있어요♡ 다른 디저트들도 먹고 싶었지만 너무 늦게가서 맛 볼 수 없어서 아쉬웠어요./라스트오더가 9시까지라해서 왔는데 매장이 9시까지였...급하게 먹고 가지만 멀리서 온 보람이 있을 정도로 맛있네요 우리애기도 너무 잘 먹고😍 시간 되면 또 들르고 싶네요! 담번엔 여유있게 와서 디테일하게 보고 가는거로😁 포장도 잘해주셔서 감사합니다!/크림치즈 베이글 , 버터 프레첼 최애에요 맛있어요/스콘 맛있어요 커피는 좀별루/시원~하이 달달~하이 너무좋습니다^~^!!!/빵이 맛있어요. 소보루페스트리~~특이하고 맛있네요/포장해서 집에서 먹었어요~ 딸기가 엄청 들어가 있어요 ㅎㅎㅎㅎ/커피도 맛있고 분위기도 좋고 편안해요/소보로와 따뜻한 커피 어울려요~~"
부어치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4688264242315,126.806270153294,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20부어치킨,https://m.place.naver.com/restaurant/1654229456,경기 부천시 범안로219번길 19,4.69,"/제로웨이스트 실천해서 통을 가지고 가는데 감사하게도 흔쾌히 괜찮다고 해주셔서 전화로 주문하고 통가져간다고 하면 해주시더라구요. ^^ 치킨도 맛있지만 고구마튀김 감자튀김도 맛나요. 가게 사장님 사모님이 항상 친절하게 맞아주셔서 갈때마다 기분이 좋아집니다. ^^/용기 가져가서 받아 왔는데 흔쾌히 괜찮다고 해주셔서 감사해요. 다음에 주문할때 용기가져간다 말씀드리고 가기로 했습니다. 항상 친절하시고 서비스 도 잘해주시는거 같아요. 치킨을 사러가는데 기분이 좋아져서 돌아옵니다. 테이크아웃 할인도 되고 좋아요. 치킨 바삭하니 맛있었고 감자튀김도 👍/요기 치킨 맛있는데유? 매장작은데도 손님 바글바글 치맥하기 좋아요!!/치킨 포장해서 집에 와서 먹었어요. 할인도 되고 콜라랑 치킨무도 주셔서 좋아요! 바삭하고 따뜻하게 바로 먹으니 넘 맛있어요! 사장님이 친절하시고 좋아요 😄/항상 친절하고 항상 맛있어요. ^^/부어치킨이야 원래 유명한 브랜드지만, 여기는 정말 맛있습니다. 튀김옷이 정말 바삭한데 속은 반대로 촉촉하고 부드러워 말 그대로 겉바속촉입니다. 닭 염지도 잘 되어 있고 뼈 상태를 보면 늘 신선닭을 쓰는 것을 알 수 있습니다. 무엇보다 늘 친절하게 맞아주시는 사장님 내외에 매장 방문할 때마다 감동하게 됩니다. 맛과 친절을 동시에 갖춘 옥길점에 꼭 와보세요.^^/언제나 사장님 친절하고 메뉴도 맛있어요/갈때마다 기분 좋은 곳이예요. ^^/오랜만에 치맥했다. 사장님도 친절하시고, 맛쇼킹 치킨 맛이 대박, 너무 맛있어서 금방 먹어치웠다. 사장님 사업 대박나세요.^^/원래 크리스피 맛나는데 오늘은 순살이라 그런가 좀 퍽퍽했어요"
정담은보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4696242815002,126.812124646697,한식족발/보쌈전문한식 음식점업,범박동%20정담은보쌈,https://m.place.naver.com/restaurant/37453109,경기 부천시 양지남로 41,4.45,/모두 다 너무 맛있어요! 저 보쌈김치나 무말랭이 안 좋아하는데 여기 너무 맛있었어요 ㅎㅎ 보쌈 먹고 싶었는데 맛 없는게 없어서 너무 맛있게 잘 먹었 습니다 👍 완전 먹고 싶은거 상상하다가 딱 먹었는데 그 맛이 안나거나 맛이 부족하면 너무 아쉽잖아요ㅠㅠ 오늘 그게 아니라 대만족이었어요 오히려 먹고 싶어하길 잘했다하는 생각 ㅎㅎㅎ 보쌈 먹고 싶을때가면 후회 안할 것 같아요 ㅎㅎ 다음에 또 먹을거에요!!/점심특선으로 국수정식 저렴하게 먹고왔어요 국수엔 견과류도 많이 들고 보쌈 하고 같이 나오는 무말랭이와 김치도 맛있었습니다/포장해서 먹었는데 맛있게 먹었어요 김치 보쌈 정갈하게 담아주시고 맛도 좋아요! 서비스로 주신 콜라 잘 먹었습니다/언제 먹어도 맛있는 보쌈집입니다^^/고기도 촉촉하고 보쌈김치도 넘 맛있네요 ㅎㅎ/사장님 입담도 좋으시고 친절해요/굿/깔끔하고 맛있어요./강추/굴보쌈 지금 먹어야함 !!!
아구세상,일식/수산물,아구전문,한식 음식점업,범박동,37.4701766706146,126.812398526659,일식/수산물아구전문한식 음식점업,범박동%20아구세상,https://m.place.naver.com/restaurant/35726775,경기 부천시 양지남로 33-1,4.35,"/사장님이 추천한 대로 4명이 대구탕 소자, 아구찜 중자 주문했더니 남지 않을 정도로 충분히 먹을 수 있었어요. 탕과 찜의 조화는 정말 환상이었습니다. 적당히 매콤한 찜을 먹고 부드러운 탕을 곁들이니 여기 오길 잘했다는 생각만 들었어요./해물탕 국물이 시원한데 해물은 좀 빈약해요/해물찜 대 시켜서 가족4명에서 잘먹었어요 기본맛이 딱 맵지도 않고 적당하게 맛나영/아구찜이 너무 달아서, 목끝에서 달달함이 없어지질 않네요... 그래서 라면끓이고 있는중입니다./매콤하게 요청드렸는데 진짜 딱 맛있게 매콤!!맛있어요!!!/맛나용/너무 맛있게 잘 먹었어요^^ 사이드메뉴가 없는게 아쉬워요ㅜ 해물파전이나 낙지수제비 같은? 추가로 더 먹고싶은데 없어서 애매했어요/이 집 모든 메뉴가 맛있어요!/비오는날 뜨끈한 알탕좋아요/굿"
고봉민김밥인부천옥길점,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4675351175665,126.822150862624,분식라면김밥분식분식 및 김밥 전문점,범박동%20고봉민김밥인부천옥길점,https://m.place.naver.com/restaurant/900646304,경기 부천시 옥길로 117,4.3,/참치김밥 야채김밥 맛있어요/매콤어묵김밥 맛있어요~~/새우김밥 맛있어요./고봉민의 쫄면은 상징적인건데. 심하게 불어터진데다 짜고.ㅠ 다신 안가고싶습니다.ㅠㅠ 최악.ㅠ/김밥이 맛있어서 좋네요./굿/굿/맛있는 점심/넘조아요 맛있어요/굿
계림원,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4689622435877,126.820692773489,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20계림원,https://m.place.naver.com/restaurant/38591132,경기 부천시 양지로176번길 8-12 1층 계림원,4.47,/불닭보다는 역시 기본이네요 ㅜㅜ/누릉지통닭과 삼계탕 맛있어요/친절하고 음식이 한결같이 맛있습니다./잘먹었습니당/굿/좋아요/좋아요/좋아요/굿/👍
전주콩나물국밥,한식,한식/백반/한정식,한식 음식점업,범박동,37.4693275514864,126.820280063275,한식한식/백반/한정식한식 음식점업,범박동%20전주콩나물국밥,https://m.place.naver.com/restaurant/41781108,경기 부천시 양지로166번길 3,4.4,/뜨끈한 콩나물국밥 좋아요/콩나물 맛집이었는데 콩나물비리내가 나네요/가성비 좋아요./자주가요 가격도 저렴하고 가볍게 먹기 좋아요/가격이 조금 올라서 아쉽다 매장에서 뚝배기로 먹는게 맛잇다 포장은 별로인듯/오랫만에 가도 맛있었어요/일요일 오전에 웨이팅 할 줄 몰랐네요. 맛도 가격도 좋은 콩나물국밥 최고~/김치콩나물 국밥 시원해요/황태콩나물해장국과 김치콩나물해장국 시원하니 맛나요/이른 아침밥 먹으러 가기 좋아요 콩나물 국밥에 고추 다대기 많이 넣어서 먹으면 꿀맛
