상호명,행정동명,위도,경도,가게_주소
카페65도씨,범박동,37.4698682060989,126.812188615467,경기 부천시 양지남로 39
블럭앤카페,범박동,37.4727226460909,126.807530900738,경기 부천시 범안로96번길 23 4단지상가 3층
한우세계,범박동,37.4701589658587,126.80795599548,경기 부천시 범안로 130-21
마론,범박동,37.4733626376413,126.812924687767,경기 부천시 양지로 115 1층 카페마론
부어치킨,범박동,37.4688264242315,126.806270153294,경기 부천시 범안로219번길 19
정담은보쌈,범박동,37.4696242815002,126.812124646697,경기 부천시 양지남로 41
아구세상,범박동,37.4701766706146,126.812398526659,경기 부천시 양지남로 33-1
고봉민김밥인부천옥길점,범박동,37.4675351175665,126.822150862624,경기 부천시 옥길로 117
계림원,범박동,37.4689622435877,126.820692773489,경기 부천시 양지로176번길 8-12 1층 계림원
전주콩나물국밥,범박동,37.4693275514864,126.820280063275,경기 부천시 양지로166번길 3
헨젤,범박동,37.4702003869115,126.81926021095,경기 부천시 양지로152번길 3 1층 henjell
예당어죽닭발,범박동,37.4703677906749,126.812587686038,경기 부천시 양지남로 31 1층 예당어죽닭발
공간,범박동,37.4696804330729,126.818624016269,경기 부천시 범안로 117 현대리치모아 506호
BHC치킨,범박동,37.4677529115346,126.82230570854,경기 부천시 양지로67번길 34
쥬시,범박동,37.4675351175665,126.822150862624,경기 부천시 양지로184번길 29 116호
본죽,범박동,37.467753024189,126.822317011287,경기 부천시 범안로 118 신한은행365) 영플러스 101호
영양사가차려주는밥상,범박동,37.4684562851609,126.821458131721,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층
청년다방,범박동,37.4673174360858,126.822007320274,경기 부천시 옥길로 113 상림프라자 102호
감탄떡볶이범박점,범박동,37.4712023995777,126.809567347043,경기 부천시 범안로 117
명인참치,범박동,37.4726990381664,126.813240425213,경기 부천시 양지로92번길 9-3 상정프라자 101호
범박식당,범박동,37.4671348442594,126.811870125257,경기 부천시 양지남로 49
도미노피자부천옥길점,범박동,37.4717534455927,126.816884316529,경기 부천시 양지로 125 예품빌딩 1층
한라산도새기,범박동,37.4721850284989,126.814096440567,경기 부천시 양지로 102
육대장,범박동,37.4730613277981,126.813426886801,경기 부천시 양지로 93
