업종중분류명,업종소분류명,표준산업분류명,합친데이터
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
한식,갈비/삼겹살,한식 음식점업,한식갈비/삼겹살한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
닭/오리요리,후라이드/양념치킨,치킨 전문점,닭/오리요리후라이드/양념치킨치킨 전문점
한식,족발/보쌈전문,한식 음식점업,한식족발/보쌈전문한식 음식점업
일식/수산물,아구전문,한식 음식점업,일식/수산물아구전문한식 음식점업
분식,라면김밥분식,분식 및 김밥 전문점,분식라면김밥분식분식 및 김밥 전문점
닭/오리요리,후라이드/양념치킨,치킨 전문점,닭/오리요리후라이드/양념치킨치킨 전문점
한식,한식/백반/한정식,한식 음식점업,한식한식/백반/한정식한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
별식/퓨전요리,죽전문점,한식 음식점업,별식/퓨전요리죽전문점한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
닭/오리요리,후라이드/양념치킨,치킨 전문점,닭/오리요리후라이드/양념치킨치킨 전문점
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
별식/퓨전요리,죽전문점,한식 음식점업,별식/퓨전요리죽전문점한식 음식점업
한식,한식/백반/한정식,한식 음식점업,한식한식/백반/한정식한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
분식,떡볶이전문,분식 및 김밥 전문점,분식떡볶이전문분식 및 김밥 전문점
일식/수산물,참치전문점,일식 음식점업,일식/수산물참치전문점일식 음식점업
한식,한식/백반/한정식,한식 음식점업,한식한식/백반/한정식한식 음식점업
패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업","패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업"
한식,갈비/삼겹살,한식 음식점업,한식갈비/삼겹살한식 음식점업
한식,한식/백반/한정식,한식 음식점업,한식한식/백반/한정식한식 음식점업
한식,갈비/삼겹살,한식 음식점업,한식갈비/삼겹살한식 음식점업
별식/퓨전요리,죽전문점,한식 음식점업,별식/퓨전요리죽전문점한식 음식점업
분식,라면김밥분식,분식 및 김밥 전문점,분식라면김밥분식분식 및 김밥 전문점
패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업","패스트푸드샌드위치전문점피자, 햄버거, 샌드위치 및 유사 음식점업"
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
양식,돈가스전문점,서양식 음식점업,양식돈가스전문점서양식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
한식,갈비/삼겹살,한식 음식점업,한식갈비/삼겹살한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
한식,족발/보쌈전문,한식 음식점업,한식족발/보쌈전문한식 음식점업
커피점/카페,커피전문점/카페/다방,비알콜 음료점업,커피점/카페커피전문점/카페/다방비알콜 음료점업
유흥주점,빠/카페/스탠드빠,일반유흥 주점업,유흥주점빠/카페/스탠드빠일반유흥 주점업
닭/오리요리,후라이드/양념치킨,치킨 전문점,닭/오리요리후라이드/양념치킨치킨 전문점
