상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
무지개떡집,제과제빵떡케익,떡전문,제과점업,별내동,37.6495020264479,127.106926860024
차오차오,중식,중국음식/중국집,중식 음식점업,별내동,37.6468705141098,127.122471720461
모아밀터,한식,한식/백반/한정식,한식 음식점업,별내동,37.6442817477054,127.110071527941
카페947,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590287186253,127.126544785574
몽그리즈치즈카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6498804368854,127.120113174283
고양이부엌별내,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6558123766151,127.126593797547
강북민물장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6496982634958,127.106663867022
던킨도너츠,패스트푸드,도너츠전문,제과점업,별내동,37.6456889660586,127.125953125353
일품의정부부대찌개삼겹살,한식,부대찌개/섞어찌개,한식 음식점업,별내동,37.6504665012449,127.1141453997
구젠스시,일식/수산물,음식점-초밥전문,일식 음식점업,별내동,37.6463611794907,127.123044303495
고마우이생선구이,일식/수산물,갈치/생선구이,한식 음식점업,별내동,37.6512785125172,127.111891908496
비빔국수와돈까스기용,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6635817775991,127.125709361251
현대뷔페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461968614505,127.126400445436
프린시플커피컴퍼니,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6524921049333,127.11271607805
도로시화덕피자,패스트푸드,패스트푸드,그외 기타 음식점업,별내동,37.6439783274097,127.110460416852
콩두,한식,한식/백반/한정식,한식 음식점업,별내동,37.6512785125172,127.111891908496
까페허브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,별내동,37.6465758588761,127.117999108448
피자랑,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6654580683167,127.117526357658
마블링,한식,갈비/삼겹살,한식 음식점업,별내동,37.6893556414646,127.107038744277
소름돈냉,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461621927205,127.125369658936
콩레오,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6720402701568,127.132728966472
삼정호프,유흥주점,호프/맥주,기타 주점업,별내동,37.6495020264479,127.106926860024
땡초불닭발,닭/오리요리,닭내장/닭발요리,한식 음식점업,별내동,37.6447352752803,127.11766959393
별내낙지명가,일식/수산물,낙지/오징어,한식 음식점업,별내동,37.6519858135231,127.130639050171
목향원,한식,한식/백반/한정식,한식 음식점업,별내동,37.6832244109259,127.101738319198
별내장군집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6662073202795,127.116508687176
전골바지락칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6718436388397,127.117156016252
태릉석정갈비,한식,갈비/삼겹살,한식 음식점업,별내동,37.646795978083,127.107729829146
베스킨라빈스,패스트푸드,아이스크림판매,제과점업,별내동,37.6428056373593,127.125952915911
뚱보칡냉면,한식,냉면집,한식 음식점업,별내동,37.6493055315155,127.107155857975
옻닭의신,닭/오리요리,옻닭전문,한식 음식점업,별내동,37.683050985155,127.101445638715
그레이가든,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590842475731,127.127960853949
대구반야월막창,한식,곱창/양구이전문,한식 음식점업,별내동,37.6516967563819,127.111195638018
풍천장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6692983158765,127.118977146248
약수농원,한식,한식/백반/한정식,한식 음식점업,별내동,37.6817536260343,127.103830758999
떡의본가,분식,떡볶이전문,분식 및 김밥 전문점,별내동,37.6475457285425,127.122395784353
세바퀴,한식,한식/백반/한정식,한식 음식점업,별내동,37.6592147304886,127.126111923019
천하장사풍천장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6893437125045,127.106653383747
초록바다조개구이,일식/수산물,조개구이전문,한식 음식점업,별내동,37.6585456694158,127.125802422631
돈스코,양식,정통양식/경양식,서양식 음식점업,별내동,37.6635817775991,127.125709361251
밥집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6439775906667,127.109168641281
바위와소나무,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6680342295413,127.119830887222
꿈트리팡팡,한식,한식/백반/한정식,한식 음식점업,별내동,37.6456889660586,127.125953125353
신동태권도,한식,한식/백반/한정식,한식 음식점업,별내동,37.6721368637369,127.133612030118
아지트,한식,한식/백반/한정식,한식 음식점업,별내동,37.6500785621626,127.112880782101
어랑해랑,일식/수산물,횟집,한식 음식점업,별내동,37.6464951442584,127.122884082746
Cafe3Supply,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6456889660586,127.125953125353
멜팡,제과제빵떡케익,제과점,제과점업,별내동,37.6668975223347,127.129354323669
갈천통,한식,기타고기요리,한식 음식점업,별내동,37.6652279143992,127.11446871973
구름공방,양식,정통양식/경양식,서양식 음식점업,별내동,37.6568535967686,127.127272938842
황분순불백,한식,한식/백반/한정식,한식 음식점업,별내동,37.6476029034181,127.124026920049
코리안바베큐,양식,바베큐전문,서양식 음식점업,별내동,37.6685411310176,127.132304943767
못된고기,한식,한식/백반/한정식,한식 음식점업,별내동,37.6657423877227,127.116990257904
오븐에빠진닭별내신도시점,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6458850785005,127.125667533698
별내낙지,한식,한식/백반/한정식,한식 음식점업,별내동,37.6521031055279,127.130660348185
