상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
차오차오,중식,중국음식/중국집,중식 음식점업,별내동,37.6468705141098,127.122471720461,별내동%20차오차오,https://m.place.naver.com/restaurant/34707895,경기 남양주시 별내중앙로57번길 20
카페947,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590287186253,127.126544785574,별내동%20카페947,https://m.place.naver.com/restaurant/37006075,경기 남양주시 두물로27번길 38-16 1층
고양이부엌별내,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6558123766151,127.126593797547,별내동%20고양이부엌별내,https://m.place.naver.com/restaurant/1707907230,경기 남양주시 두물로 19
강북민물장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6496982634958,127.106663867022,별내동%20강북민물장어,https://m.place.naver.com/restaurant/35425415,경기 남양주시 불암산로 63
던킨도너츠,패스트푸드,도너츠전문,제과점업,별내동,37.6456889660586,127.125953125353,별내동%20던킨도너츠,https://m.place.naver.com/restaurant/1383790241,경기 남양주시 별내중앙로 26
현대뷔페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461968614505,127.126400445436,별내동%20현대뷔페,https://m.place.naver.com/restaurant/1606560701,경기 남양주시 별내중앙로 36-31
프린시플커피컴퍼니,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6524921049333,127.11271607805,별내동%20프린시플커피컴퍼니,https://m.place.naver.com/restaurant/1363977840,경기 남양주시 불암로109번길 4-46 에벤에셀 1층
도로시화덕피자,패스트푸드,패스트푸드,그외 기타 음식점업,별내동,37.6439783274097,127.110460416852,별내동%20도로시화덕피자,https://m.place.naver.com/restaurant/1607577852,경기 남양주시 불암로 25-38
까페허브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,별내동,37.6465758588761,127.117999108448,별내동%20까페허브,https://m.place.naver.com/restaurant/1560734063,경기 구리시 경춘북로 252 에비뉴상가 2층 214호
피자랑,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6654580683167,127.117526357658,별내동%20피자랑,https://m.place.naver.com/restaurant/35928366,경기 남양주시 덕송2로6번길 28-26
소름돈냉,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461621927205,127.125369658936,별내동%20소름돈냉,https://m.place.naver.com/restaurant/1162633618,경기 남양주시 별내중앙로 34 로뎀타워 109호
목향원,한식,한식/백반/한정식,한식 음식점업,별내동,37.6832244109259,127.101738319198,별내동%20목향원,https://m.place.naver.com/restaurant/35657794,경기 남양주시 덕릉로1071번길 34-11
별내장군집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6662073202795,127.116508687176,별내동%20별내장군집,https://m.place.naver.com/restaurant/1654725317,경기 남양주시 덕송2로6번길 26 1층
베스킨라빈스,패스트푸드,아이스크림판매,제과점업,별내동,37.6428056373593,127.125952915911,별내동%20베스킨라빈스,https://m.place.naver.com/restaurant/37227045,경기 남양주시 별내3로 328 (별내동) 1층 104호
뚱보칡냉면,한식,냉면집,한식 음식점업,별내동,37.6493055315155,127.107155857975,별내동%20뚱보칡냉면,https://m.place.naver.com/restaurant/37769599,경기 남양주시 불암산로 60
옻닭의신,닭/오리요리,옻닭전문,한식 음식점업,별내동,37.683050985155,127.101445638715,별내동%20옻닭의신,https://m.place.naver.com/restaurant/35840646,경기 남양주시 덕릉로1071번길 24
그레이가든,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590842475731,127.127960853949,별내동%20그레이가든,https://m.place.naver.com/restaurant/1168770880,경기 남양주시 두물로39번길 38 1층 그레이가든
