상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address,store_score,visitor_review
차오차오,중식,중국음식/중국집,중식 음식점업,별내동,37.6468705141098,127.122471720461,별내동%20차오차오,https://m.place.naver.com/restaurant/34707895,경기 남양주시 별내중앙로57번길 20,4.27,/정말 다 ~맛있는데 ~~ 난 먹을때마다 탕수육에서 냄새가 나는걸까?/몇 짐을 돌아오신건지 자장떡을 먹다 맘 ㅠㅠ/매장에서 먹으면 더 맛나요~/남자친구랑 먹고온 곳^^~ 메뉴가 정말 맛있었네요^^/별내에서 가장싸고 양많고 맛있는 집/굳/좋아요/오랜만에 시켰는데 음식양이 엄청 줄었네요 가격도 오르고.. 가격오른건 이해하겠는데 가격도 올려버리고 양까지 줄이는건 아닌거같아요^^/좋아요/좋아요
카페947,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590287186253,127.126544785574,별내동%20카페947,https://m.place.naver.com/restaurant/37006075,경기 남양주시 두물로27번길 38-16 1층,4.43,"/콥샐러드 넘 맛있고 파니니도 맛집인정😘 샐러드는 알록달록하니 색상이 너무 예뻐서 눈으로 멋저 맛본듯~😋 파니니는 둘 다 맛있었는데, 갠취향으로는 바질페스토파니니가 더 맛있었음 ㅎㅎ./정말 오랜만에 방문했는데 변함없이 맛이 그대로여서 너무 좋았어요👍🏻👍🏻/맛있어요~~~~~~ 사진은 지난번 왔을때꺼임/커피가 맛있어요!/너무너무조아요 넘 맛있어요/좋아요 좋아요 맛있어요/너무너무조아요/샐러드 등 다양하게 구성되어 부런치가 괜찮아요/오랜만에 왔는데 분위기 깔끔하고 좋네요. 메뉴는 몇가지 안되네요~ 좀 더 다양한 메뉴가 있었으면 좋겠어요./세트가 가성비좋은듯 합니다. 단품이 생각보다 비싸요"
고양이부엌별내,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6558123766151,127.126593797547,별내동%20고양이부엌별내,https://m.place.naver.com/restaurant/1707907230,경기 남양주시 두물로 19,4.11,/주변에 있길래 갔었는데 만족입니다!/콩나물이 푸짐했어요! 그리고 맛이 조금 다른 지점에 비해 아쉬웠어요~^^;; 그래도 맛있게 먹었습돠/특이한맛은 없는것같아요~/와이프랑 영화 한편보고 가볍게 먹기 딱좋아요~ 위에 메가박스라 딱 좋네요👍/극장손님들이 많아져서 같이 발전하시길 맛이 그냥저냥/가성비 대박이고 가게 주인 분들도 너무 착하세요 ㅠㅠ 서비스도 많이 주셨고 양도 엄청 나고 맛은 더더욱 엄청 났어여 ㅠ 리뷰 쓰면서 보니까 또 먹고싶어요 ㅠ 맛있는 음식 감사합니다 ! 잘 먹었습니다 ㅎㅎ/주말 점심으로 즉석 떡볶이 먹고왔습니다 ~^^ 이곳은 콩나물이 들어있다는게 특징 ㅎㅎ 해장되네요~~/존맛탱 그자체...♡ 매운거 좋아하시는 분들은 매운맛도전해보세여 맵찔이인저는 반반먹었는데 짜장과섞인맛이 맛있을까?했어요 근데..결과는...! 정신 차려보니 눌은밥을 긁어먹고있더라는😀😝🤭🤭 맛있다고해서 차타고 20분왔는데 전~혀 시간이 아깝지 않은 맛이였어요..! 신메뉴 백순대곱창 먹어 보려오려구요 ㅎㅎ 맛있는 즉석떡볶이 한끼 든든히 잘먹었습니다♡/떡볶이 튀김 맛탕 전부 너무 맛있어요!!!! 사장님하고 알바생분 너무 친절해요 맛있게 잘먹었습니다~!!/맛있어요
강북민물장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6496982634958,127.106663867022,별내동%20강북민물장어,https://m.place.naver.com/restaurant/35425415,경기 남양주시 불암산로 63,4.25,/장어 실하고 맛있어용 ! 가성비 최고 ! 글구 추가로.. 사장님...! 바쁘시더라도 화장실 손잡이 잠길 수 있도록 고쳐주세요 ㅠㅠ 남녀공동인데 언능 고쳐주셔야할거같아요! 글구 홀 전담 직원도 한 사람 더 있어야할듯합니당 직원분들 넘 힘들어보여요... ㅠㅠ/재방문의사 있어요/밑반찬 맛 없고 식당 더럽고 불친절함/굽는데 환기가 잘안돼서 눈이 매웠어요ㅜㅜ 몇년전에 오고 오랜만에 옴 국은 짰어요/비리지않고 맛있어요/굿~/좋아요/굿/좋아요
던킨도너츠,패스트푸드,도너츠전문,제과점업,별내동,37.6456889660586,127.125953125353,별내동%20던킨도너츠,https://m.place.naver.com/restaurant/1383790241,경기 남양주시 별내중앙로 26,4.5,/저렴하구 맛있어용 던킨최고/너무친절한사장님과직원들 늘 너무깨끗한매장 당충전에 딱좋은 도너츠들과 아들들이좋아하는 포켓몬시리즈들까지 오늘도 기분좋은 별내던킨입니다/눈 뜨자마자 의식의 흐름대로 도넛먹방을 하고 있다. 주말은 던킨도넛이다. 당충전은 던킨도넛이 최고! 그나저나 사장님 다리 많이 다치셨던데 얼른 나 으세요~/매장 청결하고 도넛 촉촉하고 부드러워서 넘 맛있어요 그리구 친절하셔요/잘받았습니다 감사합니다/친절하고 좋아요 도너츠는 배가 아프내요 근데 ㅜㅜ/커피 맛있어요./사장님 엄청 친절하시구요. 단거는 무조건 던킨이죠. 이 시간에 하니딥이 있다니 무조건 먹어줘야죠~~ 👏👏👏/티데이 할인받아 사서 좋아요/치즈듬쁙 따뜻하게 맛있게 먹었습니다
현대뷔페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461968614505,127.126400445436,별내동%20현대뷔페,https://m.place.naver.com/restaurant/1606560701,경기 남양주시 별내중앙로 36-31,4.13,/진심 그동안 가본 한식부페중 최악임ㅋ/계속 운영해 주세요^^/맛있고 좋아요! 특히 계란후라이^^/가성비 넘 좋아요^^/기본적으로 찬이 다 짠편이고 몇개의 찬에서 머리카락발견^^.. 그건 안펐음.. ㅋ/좋아요/굿굿굿/굿/음식이 진짜 갈때마다 항상 너무 맛있어요./항상 맛있어요.
프린시플커피컴퍼니,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6524921049333,127.11271607805,별내동%20프린시플커피컴퍼니,https://m.place.naver.com/restaurant/1363977840,경기 남양주시 불암로109번길 4-46 에벤에셀 1층,4.51,/커피맛 좋고 잠봉뵈르도 맛있어용 다만 자르기가 조금 불편해서 잘라주시면 더 좋을 것 같아용! 그리고 저 수프가 진짜 맛있었어용 종종 들릴게용!/고급진 곳이예요. 커피도 전문적이고/굿/여기 참 좋아요~ 친절하고 전문적이예요/되게 고급스럽고 전문적이예요/젛아요/커피 맛있어요/잠봉뵈르 풀드포크 소시지 라우겐롤 다 맛있어요 숨은 맛집으로 인정합니다/존맛탱 더이상 말이 필요없습니다.
도로시화덕피자,패스트푸드,패스트푸드,그외 기타 음식점업,별내동,37.6439783274097,127.110460416852,별내동%20도로시화덕피자,https://m.place.naver.com/restaurant/1607577852,경기 남양주시 불암로 25-38,4.71,/자주 찾는 곳이에요 맛있어요~!^^/가성비 좋고 맛있어요/맛있고 친절합니다/친절하세요/굿/굿/굿/맛집이에요 화덕에 피자 바로구워주시고 수제라자냐 강추합니다 미국에서 먹던 라자냐는 조금더 레이어가 많았는데 얇은것도 맛있네요 재방문 의사100%/이렇게 맛있는 파스타 처음 먹는거 같아요! 같이 먹은 치킨도리아랑 미니피자도 맛이 훌륭했어요!! 사장님도 친절하시고 기분좋게 잘먹었습니다!/친절
까페허브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,별내동,37.6465758588761,127.117999108448,별내동%20까페허브,https://m.place.naver.com/restaurant/1560734063,경기 구리시 경춘북로 252 에비뉴상가 2층 214호,,"/티우드에서 샐러드 구독중이에요! 동네에서 샐러드 픽업이란 게 신선해서, 에코백과 에코통도 함께 대여해서 신청했어요! 토핑을 비건과 노비건 선택 할 수 있고, 드레싱도 매번 다르기에 다양하게 먹을 수 있어서 너무 좋아요ㅎㅎ 티우드사장님 장사할 생각 없으신거 같아요… 샐러드 자주 사먹는데.. 이 가격에 이 토핑에 이렇게 신선하고 다양한 토핑 듬뿍 든 거 진짜 혜자ㅠㅠ 계속 그래 주셔요ㅠㅠㅠㅠㅠ❤️ 샐러드 좋아하시면 강추합니당!/두번째 방문이에요! 마감시간에 방문했는데도 사장님께서 친절하게 맞이해주셨답니다:) 호평역 앞에 위치한 이석영 신흥상회에 1층에 있는 카페이고 다른 카페와는 다르게 비건 카페라는 장점이 있는 카페랍니다! #샐러드윅스 #샐러드 구독! 샐러드 구성이 너무 좋고, 과일은 상큼 달달하고 야채는 아 삭하니 샐러드가 너무 신선하고 맛있었어요! 저는 논 비건이였지만 비건으로도 신청 가능하니 참고하시면 좋을것 같아요! 비건 베이커리가 맛있.../샐러드 구독 서비스가 있다고 해서 먼저 먹어보고 결정하려구 매장을 방문했어요~ 배가 많이 고파서 기본샐러드에 닭가슴살을 추가하고 바질식빵?이랑 꽃 에이드를 주문했는데 비건 카페라서 그런지 야채가 엄~~청 신선하더라구요👍🏻👍🏻 먹자 마자 바로 구독 신청했습니다~^^ 구성도 야채만 있는게 아니라 과일이 함께 있어서 더 맘에 들었어요ㅎㅎㅎ/헬시버거3개랑 음료 포장해서 피크닉왔어요~ 너무 맛있어서 서로 말한마디 없이 폭풍흡입했다는… 진짜 맛있어요!!! 오늘부터 내 출출세포 최애 버거로 등극하나요? ㅎㅎㅎ/보리스틱이랑 그린칩 넘 맛나요 💚💚💚 비건 카페 티우드 또 방문할게요!/다이어트중인데 건강하게 맛있게 먹을수 있는 버거네요, 일단 수제버거고 통밀빵에 콩고기,양상추,토마토가 들어있고 치즈도 비건 치즈라고 하네요~ 생각보다 진한 치즈맛!! 자극적이지 않은 소스로 건강한데 맛있네요^^ 음료는 무알콜꽃차칵테일이라는데 꽃향은은한 에이드 생각하시면 될꺼 같아요~ 생각보다 아주 맛있음 개인적으로 자극적인거 싫어함! 인위적이거나 자극적이지 않은 달달함에 톡쏘는 탄산 은은한 꽃 향, 민트향도 좋네요~ 등.../여기는 묘한 매력이 있는 곳이다. 할매입맛인 나, 빵돌빵순 아이들, 365일 다이어터 남편까지 모두 함께 음료와 디저트를 고를 수 있다!! 특히 작두콩을 로스팅한 디카페인 티커피는 지하세계맛으로... 집에 오니 또다시 한잔 마시고싶다. 오늘 사먹은 쌀마들렌, 쌀밤식빵, 통밀청포도깜빠뉴, 먹골배쨈까지 배불러도 또 생각난다. 다음에 친구들이랑 콩너비아니 브런치 먹으러 가야겠다^^/동네에 새로 생긴 이석영신흥사회에 왔다가 1층에 특별한 메뉴를 파는 카페가 있어서 왔습니다 :) 특히 티 종류를 다양하게 팔아서 커피 외에 음료 좋아 하시는 분들 좋아하실 듯 해요 :) 서비스로 주신 과자도 너무 귀여워요 🙌 커피가 일반 원두가 아니라 콩을 이용한 원두라서 건강에 좋고, 특히 당뇨 있는 분들한테 좋다고 해요 :)/두번째 방문 주문한 에너지 브런치세트~ 순삭했네요~ 운동후 다이어트식단으로 괜찮아요^^ 건강함+맛도있음 리뷰후 쌀식빵 선물받았음^^/티우드숏라떼 / 메리골드 꽃차칵테일 / 펌킨베리스콘 / 통밀빵 / 수제무화과쨈 / 너무 맛있었어요😊 여자친구가 비건 카페를 좋아한다고해서 같이 갔는 데, 비건카페라고 해서 사실 반신반의하면서 한입먹었는데 너무 맛있더라고요! 😊 그리고 방문하시면 꽃차 칵테일은 꼭 드셔보세요!! 꽃향이 가득한 시 원한 에이드 느낌인데 정말정말 맛있어요! 종류도 4가지나 되니까 나중에 또 방문해야겠어요! 사장님도 친절하시고 베이커리도 맛있어요👍🏻 오..."
피자랑,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6654580683167,127.117526357658,별내동%20피자랑,https://m.place.naver.com/restaurant/35928366,경기 남양주시 덕송2로6번길 28-26,4.67,"/몇 번 먹었는데, 여기만큼 양도 많고 재료도 신선한 곳이 없어요! 사장님 부부도 친절하시고요:) 오늘도 맛있게 잘 먹겠습니다~/너무 맛있어요 사장님도 친절하시고 재료도 아끼지않아요 강추/배달어플 리뷰가 엄청 좋던데 토핑도 많고 엄청 맛있게 먹었습니다. 사장님도 친절하시고요 ^.^ 앞으로 피자는 피자랑에서만 먹게될 것 같아요! 재가 지금 임신초기인데.. 아기가 자라서 피자를 먹을 수 있을 때 까지 계속 운영하셨으면 좋겠습니다!/이사와서 처음먹었는데 빵도 맛있고 토핑,치즈도 많고 또 먹고싶어요~~/사장님이 친절하시고 도우가 쫀득쫀득 맛있어요. 저희 아이는 여기 피자치즈를 제일 좋아해요^^/오랜만에 먹었는데 역시나 피..자..랑!!/고구마 피자 2판 시켰는데 한입먹고 굉장히 짜고 시큼해서 항의 전화를 했더니 괜찮다고 그냥 먹으라고 하고 다른사람도 괜찮다고 했는데 왜그러냐고 하질 않나 집에 있으면서 경찰대동해서 집으로 쳐들어온다고 합니다. 너무 어이없고 황당하고 이런경우는 처음입니다. 서비스마인드도 불량하고 다시는 안먹습니다./맛나요/친절하시구 피자 진짜 찐맛집이에요!♥️ 너무 맛있음 ㅜ/가성비가 좋은 곳입니다."
